1. Poloniex
1,Bitcoin,BTC/USD,"$ 21,369",$ 418.40,100.00 %
43. FlowBTC
1,Bitcoin,BTC/BRL,"$ 17,591",$ 455.83,100.00 %
2,Bitcoin,BTC/MXN,$ 0,$ 0,0.00 %
Total,"$ 17,591",,
44. Bleutrade
1,Decred,DCR/BTC,"$ 2,438",$ 1.85,23.49 %
2,CrevaCoin,CREVA/BTC,"$ 2,180",$ 0.083707,21.00 %
3,Ethereum,ETH/BTC,"$ 2,086",$ 11.19,20.10 %
4,ECCoin,ECC/BTC,$ 658,$ 0.000008,6.34 %
5,Dash,DASH/BTC,$ 341,$ 6.97,3.29 %
6,Virtacoin,VTA/BTC,$ 299,$ 0.000013,2.88 %
7,Litecoin,LTC/BTC,$ 280,$ 3.23,2.70 %
8,ZiftrCOIN,ZRC/BTC,$ 183,$ 0.002550,1.76 %
9,Dogecoin,DOGE/BTC,$ 169,$ 0.000219,1.63 %
10,Verge,XVG/BTC,$ 168,$ 0.000143,1.62 %
View More
Total,"$ 10,379",,
45. LiteBit.eu
1,Bitcoin,BTC/EUR,"$ 5,577",$ 417.85,81.58 %
2,Nxt,NXT/EUR,$ 606,$ 0.008295,8.86 %
3,Litecoin,LTC/EUR,$ 321,$ 3.21,4.70 %
4,Dogecoin,DOGE/EUR,$ 216,$ 0.000216,3.16 %
5,CloakCoin,CLOAK/EUR,$ 116,$ 0.145261,1.70 %
6,BlackCoin,BLK/EUR,$ 0,$ 0.032519,0.00 %
7,Peercoin,PPC/EUR,$ 0,$ 0.445339,0.00 %
8,Vertcoin,VTC/EUR,$ 0,$ 0.054640,0.00 %
9,Gulden,NLG/EUR,$ 0,$ 0.001786,0.00 %
10,GroestlCoin,GRS/EUR,$ 0,$ 0.002671,0.00 %
View More
Total,"$ 6,837",,
46. Bitok
1,Bitcoin,BTC/USD,"$ 4,567",$ 437.20,70.68 %
2,Bitcoin,BTC/EUR,"$ 1,895",$ 438.24,29.32 %
Total,"$ 6,462",,
47. safecex
1,CrevaCoin,CREVA/BTC,"$ 2,853",$ 0.078876,63.75 %
2,Darknet,DNET/BTC,$ 494,$ 0.004562,11.03 %
3,Devcoin,DVC/BTC,$ 171,$ 0.000013,3.83 %
4,Verge,XVG/BTC,$ 171,$ 0.000143,3.82 %
5,Memetic,MEME/BTC,$ 166,$ 0.007786,3.71 %
6,Sharkcoin,SAK/BTC,$ 102,$ 0.031566,2.27 %
7,DubaiCoin,DBIC/BTC,$ 87,$ 0.005050,1.94 %
8,Feathercoin,FTC/BTC,$ 45,$ 0.008497,1.01 %
9,Influxcoin,INFX/BTC,$ 38,$ 0.047179,0.85 %
10,TrumpCoin,TRUMP/BTC,$ 37,$ 0.003043,0.83 %
View More
Total,"$ 4,475",,
48. Negocie Coins
1,Bitcoin,BTC/BRL,"$ 4,280",$ 460.02,99.56 %
2,Litecoin,LTC/BRL,$ 19,$ 3.74,0.44 %
Total,"$ 4,299",,
49. BitShares Asset Exchange
1,bitSilver,BITSILVER/BTS,$ 983,$ 15.39,24.05 %
2,bitUSD,BITUSD/BTS,$ 842,$ 1.01,20.59 %
3,bitBTC,BITBTC/BTS,$ 833,$ 426.46,20.38 %
4,bitCNY,BITCNY/BTS,$ 790,$ 0.155497,19.33 %
5,bitGold,BITGOLD/BTS,$ 625,"$ 1,259",15.28 %
6,bitEUR,BITEUR/BTS,$ 15,$ 1.20,0.37 %
7,Banx,BANX/BTS,$ 0,$ 0.000616,0.00 %
8,bitBTC,BITBTC/BITUSD,$ 0,$ 446.57,0.00 %
Total,"$ 4,089",,
50. OpenLedger
1,BitShares,BTS/BTC,"$ 2,658",$ 0.006135,79.95 %
2,Obits,OBITS/BTS,$ 533,$ 0.118031,16.02 %
3,Ethereum,ETH/BTS,$ 74,$ 15.40,2.23 %
4,bitBTC,BITBTC/BTC,$ 60,$ 431.66,1.81 %
5,MUSE,MUSE/BTS,$ 0,$ 0.001340,0.00 %
6,BTSR,BTSR/BTS,$ 0,$ 0.110849,0.00 %
Total,"$ 3,325",,
51. CCEDK
1,Bitcoin,BTC/DKK,"$ 2,144",$ 433.85,68.16 %
2,Obits,OBITS/USD,$ 712,$ 0.100000,22.63 %
3,Obits,OBITS/BTC,$ 230,$ 0.126260,7.32 %
4,Bitcoin,BTC/EUR,$ 31,$ 474.96,1.00 %
5,FIMKrypto,FIMK/BTC,$ 20,$ 0.000509,0.63 %
6,FIMKrypto,FIMK/EUR,$ 8,$ 0.000427,0.26 %
7,Dogecoin,DOGE/BTC,$ 0,$ 0.000210,0.00 %
8,Dogecoin,DOGE/EUR,$ 0,$ 0.000330,0.00 %
9,Nxt,NXT/BTC,$ 0,$ 0.011784,0.00 %
10,NuShares,NSR/EUR,$ 0,"$ 22,780",0.00 %
View More
Total,"$ 3,146",,
52. Cryptopia
